timestamp,hour,day_of_week,is_weekend,location_name,latitude,longitude,noise_level_db,traffic_volume_veh_hr,avg_speed_kmh,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,traffic_missing_original,temperature_missing_original,noise_missing_original,noise_lag_1,noise_lag_24,traffic_lag_1,traffic_lag_24,noise_roll_mean_3h,noise_roll_mean_24h,traffic_roll_mean_3h,traffic_roll_mean_24h,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,land_use_Commercial,land_use_Industrial,land_use_Mixed,land_use_Park,land_use_Residential,borough_North East,borough_North West,borough_South East,borough_South West,site_SITE-001,site_SITE-002,site_SITE-003,site_SITE-004,site_SITE-005,site_SITE-006,site_SITE-007,site_SITE-008,site_SITE-009,site_SITE-010,site_SITE-011,site_SITE-012,site_SITE-013,site_SITE-014,site_SITE-015,site_SITE-016,site_SITE-017,site_SITE-018,site_SITE-019,site_SITE-020,site_SITE-021,site_SITE-022,site_SITE-023,site_SITE-024,site_SITE-025,site_SITE-026,site_SITE-027,site_SITE-028,site_SITE-029,site_SITE-030,site_SITE-031,site_SITE-032,site_SITE-033,site_SITE-034,site_SITE-035,site_SITE-036,site_SITE-037,site_SITE-038,site_SITE-039,site_SITE-040,site_SITE-041,site_SITE-042,site_SITE-043,site_SITE-044,site_SITE-045,site_SITE-046,site_SITE-047,site_SITE-048,site_SITE-049,site_SITE-050
2023-01-03 14:00:00,14,1,0,Sensor 1,40.73609226674763,-74.00172315900502,76.27780250633899,240.0,18.0,11.81396601516256,50.9507879650608,0.2573455217357737,21.91483242548879,0,0,0,,,,,,,,,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-14 22:00:00,22,5,1,Sensor 1,40.73609226674763,-74.00172315900502,73.76455645502935,216.0,29.7,22.19704278871749,60.81130532108954,3.866684735247424,15.350957214224952,0,0,0,76.27780250633899,,240.0,,76.27780250633899,76.27780250633899,240.0,240.0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-15 03:00:00,3,6,1,Sensor 1,40.73609226674763,-74.00172315900502,60.30869145789591,228.0,39.35,12.233141912511922,65.75220667746586,1.4518556215539886,9.612915229793227,0,0,0,73.76455645502935,,216.0,,75.02117948068417,75.02117948068417,228.0,228.0,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-15 17:00:00,17,6,1,Sensor 1,40.73609226674763,-74.00172315900502,58.16365717713612,276.0,23.950000000000003,4.46138578178296,29.336686564642,2.9909816819010286,16.29339682013043,0,0,0,60.30869145789591,,228.0,,70.11701680642142,70.11701680642142,228.0,228.0,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-27 00:00:00,0,4,0,Sensor 1,40.73609226674763,-74.00172315900502,59.75432986232949,288.0,30.6,24.816083615966576,27.40071923017944,0.3099828143256515,28.62705920490308,0,0,0,58.16365717713612,,276.0,,64.0789683633538,67.1286768991001,240.0,240.0,0.0,1.0,-0.433883739117558,-0.9009688679024191,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-09 13:00:00,13,3,0,Sensor 1,40.73609226674763,-74.00172315900502,69.914294527202,264.0,42.3,9.685643320577311,72.85477428921376,1.3596731865194145,17.70356093297835,0,0,0,59.75432986232949,,288.0,,59.40889283245384,65.65380749174598,264.0,249.6,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-10 18:00:00,18,4,0,Sensor 1,40.73609226674763,-74.00172315900502,82.04102078059118,264.0,38.3,26.33882477142283,86.71113232283099,2.3320487807049157,39.08731626379984,0,0,0,69.914294527202,,264.0,,62.610760522222535,66.36388866432198,276.0,252.0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-17 03:00:00,3,4,0,Sensor 1,40.73609226674763,-74.00172315900502,64.5103496914155,204.0,37.05,15.914932365301972,61.644121464321,4.7565484141204974,8.538460645558752,0,0,0,82.04102078059118,,264.0,,70.56988172337422,68.60347896664615,272.0,253.71428571428572,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-20 23:00:00,23,0,0,Sensor 1,40.73609226674763,-74.00172315900502,70.22142545933936,168.0,45.1,14.875756393359586,76.78613908809504,4.794691556509499,21.293224103484107,0,0,0,64.5103496914155,,204.0,,72.1552216664029,68.09183780724231,244.0,247.5,-0.25881904510252157,0.9659258262890681,0.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-06 23:00:00,23,0,0,Sensor 1,40.73609226674763,-74.00172315900502,60.514571634721385,288.0,16.6,18.14764923495411,63.8100877949082,2.766799802818647,35.07391993005826,0,0,0,70.22142545933936,,168.0,,72.257598643782,68.32845865747532,212.0,238.66666666666666,-0.25881904510252157,0.9659258262890681,0.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
