timestamp,predicted_noise_db,location_id,location_name,borough,land_use_type
2024-01-01 00:00:00,66.09029360370351,SITE-002,Sensor 2,South West,Industrial
2024-01-01 01:00:00,61.424942295465904,SITE-002,Sensor 2,South West,Industrial
2024-01-01 02:00:00,59.40324383517241,SITE-002,Sensor 2,South West,Industrial
2024-01-01 03:00:00,62.29717537791002,SITE-002,Sensor 2,South West,Industrial
2024-01-01 04:00:00,62.14853606190974,SITE-002,Sensor 2,South West,Industrial
2024-01-01 05:00:00,65.00971373356576,SITE-002,Sensor 2,South West,Industrial
2024-01-01 06:00:00,51.23085110342754,SITE-002,Sensor 2,South West,Industrial
2024-01-01 07:00:00,70.45352454646337,SITE-002,Sensor 2,South West,Industrial
2024-01-01 08:00:00,63.50744574102312,SITE-002,Sensor 2,South West,Industrial
2024-01-01 09:00:00,68.6051847402393,SITE-002,Sensor 2,South West,Industrial
2024-01-01 10:00:00,68.78218925921745,SITE-002,Sensor 2,South West,Industrial
2024-01-01 11:00:00,59.528969136872895,SITE-002,Sensor 2,South West,Industrial
2024-01-01 12:00:00,82.35230771263386,SITE-002,Sensor 2,South West,Industrial
2024-01-01 13:00:00,65.01905911942679,SITE-002,Sensor 2,South West,Industrial
2024-01-01 14:00:00,64.50690313320517,SITE-002,Sensor 2,South West,Industrial
2024-01-01 15:00:00,68.3342861246443,SITE-002,Sensor 2,South West,Industrial
2024-01-01 16:00:00,65.0084542958201,SITE-002,Sensor 2,South West,Industrial
2024-01-01 17:00:00,69.2964689972376,SITE-002,Sensor 2,South West,Industrial
2024-01-01 18:00:00,72.186535962461,SITE-002,Sensor 2,South West,Industrial
2024-01-01 19:00:00,67.99871951283637,SITE-002,Sensor 2,South West,Industrial
2024-01-01 20:00:00,64.25520497565714,SITE-002,Sensor 2,South West,Industrial
2024-01-01 21:00:00,68.25808690718776,SITE-002,Sensor 2,South West,Industrial
2024-01-01 22:00:00,54.896690076976675,SITE-002,Sensor 2,South West,Industrial
2024-01-01 23:00:00,66.89942138545315,SITE-002,Sensor 2,South West,Industrial
2024-01-02 00:00:00,66.08755088191516,SITE-002,Sensor 2,South West,Industrial
2024-01-02 01:00:00,61.42220305235014,SITE-002,Sensor 2,South West,Industrial
2024-01-02 02:00:00,59.40050806631714,SITE-002,Sensor 2,South West,Industrial
2024-01-02 03:00:00,62.29444307890873,SITE-002,Sensor 2,South West,Industrial
2024-01-02 04:00:00,62.145807228361505,SITE-002,Sensor 2,South West,Industrial
2024-01-02 05:00:00,65.00698836107527,SITE-002,Sensor 2,South West,Industrial
2024-01-02 06:00:00,51.22812918760501,SITE-002,Sensor 2,South West,Industrial
2024-01-02 07:00:00,64.88229141424766,SITE-002,Sensor 2,South West,Industrial
2024-01-02 08:00:00,63.50473072538953,SITE-002,Sensor 2,South West,Industrial
2024-01-02 09:00:00,68.60247316813778,SITE-002,Sensor 2,South West,Industrial
2024-01-02 10:00:00,68.77948112628047,SITE-002,Sensor 2,South West,Industrial
2024-01-02 11:00:00,59.52626443873847,SITE-002,Sensor 2,South West,Industrial
2024-01-02 12:00:00,58.6706727872854,SITE-002,Sensor 2,South West,Industrial
2024-01-02 13:00:00,59.76554458024042,SITE-002,Sensor 2,South West,Industrial
2024-01-02 14:00:00,64.50420871336175,SITE-002,Sensor 2,South West,Industrial
2024-01-02 15:00:00,68.33159512221071,SITE-002,Sensor 2,South West,Industrial
2024-01-02 16:00:00,65.00576670646197,SITE-002,Sensor 2,South West,Industrial
2024-01-02 17:00:00,69.29378481662602,SITE-002,Sensor 2,South West,Industrial
2024-01-02 18:00:00,72.18385518627254,SITE-002,Sensor 2,South West,Industrial
2024-01-02 19:00:00,67.99604213675312,SITE-002,Sensor 2,South West,Industrial
2024-01-02 20:00:00,64.25253099536664,SITE-002,Sensor 2,South West,Industrial
2024-01-02 21:00:00,68.25541631838306,SITE-002,Sensor 2,South West,Industrial
2024-01-02 22:00:00,51.030608980498734,SITE-002,Sensor 2,South West,Industrial
2024-01-02 23:00:00,66.89675756672088,SITE-002,Sensor 2,South West,Industrial
