model,location_id,rmse,mae,mape
Gradient Boosting,SITE-001,9.534134930095007,9.534134930095007,12.574721751570198
Gradient Boosting,SITE-002,13.09086322557919,11.079367809704689,17.313231852756143
Gradient Boosting,SITE-003,24.524939191012738,21.62015532609242,55.52602163798087
Gradient Boosting,SITE-004,7.943664528462826,7.943664528462826,13.783355368160327
Gradient Boosting,SITE-005,11.114316678794685,10.289223600260428,18.081694251255975
Gradient Boosting,SITE-006,11.562177618832301,11.562177618832301,15.529683159547266
Gradient Boosting,SITE-007,12.238674300274567,12.238674300274567,16.192752976162815
Gradient Boosting,SITE-008,9.522977886039973,8.623606007037296,14.394626573025093
Gradient Boosting,SITE-009,1.390968954770571,1.390968954770571,2.068558439591143
Gradient Boosting,SITE-010,16.989155424772616,13.43604145490469,32.20025003123973
Gradient Boosting,SITE-011,1.7041862161030537,1.7041862161030537,2.570952734644445
Gradient Boosting,SITE-012,3.1956610686625595,3.1956610686625595,4.746416588960659
Gradient Boosting,SITE-013,5.495323424720638,5.495323424720638,7.8158760446989355
Gradient Boosting,SITE-014,17.5468248984332,17.5468248984332,35.1772550129466
Gradient Boosting,SITE-015,13.694517358299157,10.836791360901103,13.981905832996508
Gradient Boosting,SITE-016,1.9123491578112632,1.545899568391249,2.2845364480740398
Gradient Boosting,SITE-018,8.20396457292479,8.20396457292479,11.405709729194571
Gradient Boosting,SITE-019,6.917179144723207,6.917179144723207,9.465168159339884
Gradient Boosting,SITE-020,10.338959586534855,10.338959586534855,14.381309049566998
Gradient Boosting,SITE-021,4.787110168008243,4.672113981674087,6.610118205510974
Gradient Boosting,SITE-022,5.233538411747922,5.233538411747922,8.928336471350223
Gradient Boosting,SITE-023,19.160528041957257,19.160528041957257,41.55980587140371
Gradient Boosting,SITE-024,7.279791469442189,6.292302147745572,10.19995196377046
Gradient Boosting,SITE-025,15.723300816482707,11.394486463505125,25.70345861715288
Gradient Boosting,SITE-026,5.318797411045138,5.228161097679493,7.899263794629493
